cluster	n_peaks	n_proximal	n_distal	n_genes	span	states	genes
905	5	2	3	4	chr15:71713288-72686717 (973kb)	.	ARIH1,BBS4,HIGD2B,TMEM202-AS1
924	5	1	4	1	chr15:80093135-80990067 (897kb)	.	MESD
936	5	1	4	1	chr15:84654316-85640233 (986kb)	.	WDR73
955	5	1	4	1	chr15:98548181-99124082 (576kb)	.	ENSG00000259621
960	5	1	4	1	chr1:60008752-61253718 (1245kb)	.	NFIA-AS1
983	5	2	3	4	chr16:2751947-3264989 (513kb)	.	ENSG00000290183,LINC00921,SRRM2,SRRM2-AS1
1014	5	4	1	5	chr16:4116868-4958557 (842kb)	.	ADCY9,GLYR1,SEC14L5,UBN1,ZNF500
1072	5	3	2	3	chr17:15260826-16439124 (1178kb)	.	ENSG00000265445,SNHG29,UBB
1124	5	1	4	3	chr17:42101629-43983907 (1882kb)	.	PTGES3L,PTGES3L-AARSD1,RUNDC1
1154	5	3	2	5	chr17:49570061-50426478 (856kb)	.	ACSF2,ENSG00000250751,ENSG00000276851,PDK2,SLC35B1
1183	5	3	2	3	chr17:63842600-64837446 (995kb)	.	ENSG00000291117,POLG2,SMARCD2
1293	5	1	4	1	chr19:10572420-11785170 (1213kb)	.	DOCK6
1305	5	3	2	4	chr19:13140606-14263098 (1122kb)	.	ENSG00000267512,IER2,NANOS3,STX10
1347	5	3	2	5	chr19:35000132-36128257 (1128kb)	.	GRAMD1A-AS1,HAUS5,HAUS5-DT,THAP8,WDR62
1355	5	3	2	5	chr19:35718491-36150988 (432kb)	.	HSPB6,KMT2B,POLR2I,PROSER3,TBCB
1365	5	3	2	3	chr19:39122136-39881779 (760kb)	.	PAK4,TIMM50,ZFP36
1400	5	4	1	5	chr19:49085056-49851180 (766kb)	.	ENSG00000268636,PTOV1,PTOV1-AS1,RRAS,SNRNP70
1407	5	3	2	4	chr19:53889525-54206877 (317kb)	.	CNOT3,NDUFA3,OSCAR,RPS9
1448	5	3	2	5	chr20:33299144-34216433 (917kb)	.	CHMP4B,ENSG00000229188,ENSG00000271803,NECAB3,ZNF341-AS1
1471	5	2	3	2	chr20:4097582-5137439 (1040kb)	.	ENSG00000278595,RASSF2
1512	5	3	2	4	chr2:101002055-101697738 (696kb)	.	ENSG00000223947,MAP4K4,RNF149,RPL31
1514	5	2	3	3	chr2:8583819-10448959 (1865kb)	.	ASAP2,ODC1,ODC1-DT
1532	5	3	2	3	chr2:127526423-128319012 (793kb)	.	AMMECR1L,HS6ST1,IWS1
1541	5	2	3	4	chr21:32569846-34036803 (1467kb)	.	ATP5PO,IL10RB,IL10RB-DT,LINC00649
1562	5	3	2	4	chr21:45288471-46140880 (852kb)	.	ENSG00000274248,ENSG00000288885,LINC00205,POFUT2
1624	5	3	2	4	chr2:218671619-219522995 (851kb)	.	ABCB6,ASIC4,RNF25,STK36
1640	5	3	2	3	chr22:21646815-22357616 (711kb)	.	ENSG00000286129,IGLV1-47,IGLVIV-65
1658	5	2	3	2	chr22:30288113-31291227 (1003kb)	.	CASTOR1,SLC35E4
1660	5	3	2	4	chr22:30562519-31496724 (934kb)	.	EIF4ENIF1,ENSG00000287817,INPP5J,SFI1
1664	5	1	4	1	chr22:31080818-31944628 (864kb)	.	YWHAH
1667	5	4	1	5	chr2:231198190-232421084 (1223kb)	.	ARMC9,ENSG00000237087,ENSG00000289018,PDE6D,PTMA
1697	5	1	4	1	chr22:39343585-40370712 (1027kb)	.	SGSM3
1703	5	3	2	4	chr2:24076279-25673174 (1597kb)	.	DTNB,EFR3B,FAM228B,SF3B6
1709	5	3	2	4	chr22:42369209-43040670 (671kb)	.	ENSG00000270022,ENSG00000289517,LINC01315,POLDIP3
1710	5	1	4	1	chr22:42621551-43476327 (855kb)	.	TTLL1
1719	5	3	2	4	chr2:25851990-26970702 (1119kb)	.	CENPA,HADHA,MAPRE3,SLC35F6
1739	5	1	4	1	chr2:45650775-46889120 (1238kb)	.	PRKCE
1758	5	1	4	2	chr2:64120587-65006694 (886kb)	.	AFTPH,AFTPH-DT
1773	5	2	3	3	chr2:70123196-70900040 (777kb)	.	C2orf42,TIA1,VAX2
1777	5	1	4	1	chr2:70861907-71068728 (207kb)	.	ENSG00000272735
1795	5	2	3	2	chr2:87825189-88628249 (803kb)	.	EIF2AK3-DT,RGPD2
1812	5	4	1	6	chr3:9890457-10772298 (882kb)	.	EMC3,ENSG00000206567,ENSG00000291078,FANCD2,JAGN1,SEC13
1845	5	1	4	1	chr3:12729211-13092463 (363kb)	.	RPL32
1848	5	2	3	3	chr3:129245817-130425836 (1180kb)	.	PLXND1,TMCC1,TMCC1-DT
1918	5	1	4	1	chr3:33026992-33841175 (814kb)	.	CRTAP
1965	5	1	4	1	chr3:57579163-58370944 (792kb)	.	PXK
1981	5	3	2	5	chr4:586578-1249284 (663kb)	.	CTBP1-DT,DGKQ,GAK,IDUA,TMEM175
1983	5	2	3	2	chr4:107719920-108512340 (792kb)	.	LEF1,PAPSS1
2005	5	1	4	1	chr4:139082852-140296780 (1214kb)	.	ENSG00000272717
2019	5	2	3	2	chr4:1581114-2396692 (816kb)	.	ENSG00000244459,FAM53A
2029	5	2	3	2	chr4:2008862-3544897 (1536kb)	.	ENSG00000270090,TNIP2
2144	5	2	3	2	chr5:175729903-176416286 (686kb)	.	CLTB,KIAA1191
2149	5	2	3	3	chr5:176870130-177996702 (1127kb)	.	PROP1,UIMC1,ZNF346
2150	5	1	4	2	chr5:177071865-177837043 (765kb)	.	PRELID1,RAB24
2160	5	4	1	5	chr5:180802289-181262334 (460kb)	.	ENSG00000286644,LINC01962,TRIM52,TRIM52-AS1,TRIM7-AS2
2176	5	2	3	3	chr5:65510356-66303001 (793kb)	.	CENPK,ERBIN-DT,PPWD1
2216	5	3	2	3	chr6:116511707-117976307 (1465kb)	.	CALHM5,GOPC,SLC35F1
2248	5	4	1	5	chr6:143060294-144063862 (1004kb)	.	AIG1,FUCA2,LINC01277,PHACTR2,PLAGL1
2260	5	1	4	1	chr6:156777117-157981883 (1205kb)	.	SYNJ2
2351	5	1	4	1	chr6:89198130-90677956 (1480kb)	.	MDN1
2361	5	3	2	5	chr7:99919004-100428914 (510kb)	.	CNPY4,MEPCE,TAF6,TRIM4,ZCWPW1
2373	5	2	3	2	chr7:101520485-102546698 (1026kb)	.	CUX1,POLR2J
2380	5	2	3	2	chr7:106176565-107044710 (868kb)	.	CCDC71L,PRKAR2B
2396	5	1	4	1	chr7:131327200-131719112 (392kb)	.	MKLN1-AS
2405	5	2	3	3	chr7:140626308-141551017 (925kb)	.	AGK,AGK-DT,MRPS33
2407	5	2	3	2	chr7:148642357-149498130 (856kb)	.	EZH2,ZNF746
2424	5	1	4	2	chr7:154841720-155345177 (503kb)	.	PAXIP1,PAXIP1-DT
2425	5	2	3	3	chr7:155002449-156197320 (1195kb)	.	ENSG00000227365,PAXIP1,PAXIP1-DT
2433	5	1	4	1	chr7:24456136-25483540 (1027kb)	.	PALS2
2469	5	2	3	3	chr7:5885690-6938572 (1053kb)	.	DAGLB,EIF2AK1,KDELR2
2520	5	1	4	2	chr8:124020912-124612507 (592kb)	.	RNF139,RNF139-DT
2521	5	3	2	5	chr8:124291016-125091893 (801kb)	.	MTSS1,NSMCE2,SQLE,SQLE-DT,WASHC5
2609	5	3	2	4	chr9:129080609-130446012 (1365kb)	.	ASS1,C9orf78,DOLPP1,ENSG00000287234
2616	5	3	2	4	chr9:130579405-131350328 (771kb)	.	ABL1,AIF1L,ENSG00000288570,FUBP3
2624	5	1	4	1	chr9:136108550-137914806 (1806kb)	.	LINC02846
2628	5	2	3	1	chr9:137150294-137724435 (574kb)	.	ZMYND19
2669	5	4	1	4	chr9:92293619-93453827 (1160kb)	.	FAM120A,FAM120AOS,IARS1,NINJ1
2689	5	1	4	2	chrX:106872132-107732257 (860kb)	.	DNAAF6,NUP62CL
2699	5	2	3	4	chrX:119468971-120365554 (897kb)	.	NDUFA1,RNF113A,SLC25A5,SLC25A5-AS1
2708	5	2	3	3	chrX:134537020-135112978 (576kb)	.	PABIR2,PABIR3,RTL8A
2944	5	0	5	0	chr1:151594252-152112435 (518kb)	.	.
3011	5	0	5	0	chr1:178476928-180042577 (1566kb)	.	.
3084	5	0	5	0	chr12:120291281-121839843 (1549kb)	.	.
3404	5	5	0	7	chr14:89013136-90383557 (1370kb)	.	EFCAB11,ENSG00000259053,ENSG00000283627,FOXN3,LINC02960,NRDE2,TDP1
3478	5	0	5	0	chr1:58417278-59826901 (1410kb)	.	.
3588	5	0	5	0	chr17:19513995-20095584 (582kb)	.	.
3772	5	0	5	0	chr19:47790516-48788390 (998kb)	.	.
4385	5	5	0	5	chr5:54517551-55233207 (716kb)	.	CCNO,CCNO-DT,CDC20B,GPX8,SNX18
4455	5	0	5	0	chr6:13081610-13688887 (607kb)	.	.
4636	5	0	5	0	chr7:28278671-28770275 (492kb)	.	.
4710	5	5	0	5	chr8:22245017-22693695 (449kb)	.	BIN3,C8orf58,EGR3,ENSG00000261026,POLR3D
14	4	1	3	1	chr10:102869588-103872487 (1003kb)	.	AS3MT
18	4	2	2	3	chr10:103884741-104353884 (469kb)	.	CFAP58,CFAP58-DT,STN1
32	4	2	2	3	chr10:118501561-119908096 (1407kb)	.	EIF3A,ENSG00000289126,PRDX3
33	4	2	2	3	chr10:119011405-119892814 (881kb)	.	DENND10,MCMBP,SEC23IP
45	4	1	3	2	chr10:124388935-124916995 (528kb)	.	ENSG00000249456,ENSG00000289280
46	4	2	2	3	chr10:124450172-125209302 (759kb)	.	EEF1AKMT2,ENSG00000258539,NKX1-2
52	4	1	3	1	chr10:132755328-133520600 (765kb)	.	CYP2E1
65	4	1	3	2	chr10:28823012-29449283 (626kb)	.	ENSG00000287402,SVIL-AS1
82	4	1	3	2	chr10:63065922-63654465 (589kb)	.	JMJD1C,REEP3
88	4	1	3	1	chr10:68923972-69318527 (395kb)	.	KIFBP
101	4	3	1	3	chr10:73110385-74418557 (1308kb)	.	ENSG00000268584,NUDT13,USP54
103	4	3	1	3	chr10:75099811-75593106 (493kb)	.	ENSG00000286715,SAMD8,VDAC2
107	4	1	3	1	chr10:79242740-79905221 (662kb)	.	ENSG00000283913
118	4	1	3	1	chr10:93861205-94635160 (774kb)	.	TBC1D12
125	4	2	2	3	chr10:99392797-100186477 (794kb)	.	ENSG00000229278,ENTPD7,ERLIN1
131	4	2	2	2	chr1:9019624-10035279 (1016kb)	.	H6PD,TMEM201
134	4	2	2	4	chr1:10209823-10495302 (285kb)	.	CENPS,CENPS-CORT,ENSG00000271989,KIF1B
147	4	2	2	3	chr1:109740970-111032524 (1292kb)	.	GSTM3,KCNC4,KCNC4-DT
154	4	3	1	5	chr11:10540865-11156276 (615kb)	.	EIF4G2,ENSG00000246308,ENSG00000289976,IRAG1-AS1,RNF141
194	4	2	2	4	chr1:113683419-114346854 (663kb)	.	ENSG00000231128,HIPK1,HIPK1-AS1,RSBN1
211	4	3	1	4	chr11:18012284-19449501 (1437kb)	.	SERGEF,SPTY2D1,SPTY2D1OS,UEVLD
215	4	1	3	1	chr1:119663253-120176655 (513kb)	.	SEC22B
225	4	1	3	1	chr11:32358775-33802924 (1444kb)	.	QSER1
230	4	1	3	2	chr11:33650117-34399761 (750kb)	.	FBXO3,FBXO3-DT
231	4	2	2	3	chr11:34006931-34916745 (910kb)	.	ABTB2,APIP,PDHX
234	4	2	2	3	chr11:3824750-4250863 (426kb)	.	ENSG00000229368,STIM1,STIM1-AS1
239	4	2	2	2	chr11:45251518-45805185 (554kb)	.	LINC02687,SLC35C1
249	4	3	1	4	chr11:46239158-47821505 (1582kb)	.	ARHGAP1,ENSG00000254639,PSMC3,ZNF408
255	4	2	2	2	chr1:149176781-149939355 (763kb)	.	ENSG00000289614,H2BC18
256	4	3	1	5	chr1:149887934-150294150 (406kb)	.	APH1A,BOLA1,C1orf54,H2AC21,MRPS21
274	4	2	2	3	chr1:154066352-154937445 (871kb)	.	ENSG00000270361,KCNN3,PMVK
277	4	3	1	3	chr1:153957943-154477576 (520kb)	.	ATP8B2,CRTC2,ENSG00000282386
283	4	2	2	3	chr1:156082441-156971815 (889kb)	.	LMNA,MEF2D,MEX3A
300	4	2	2	2	chr1:161198575-161530473 (332kb)	.	ADAMTS4,HSPA6
301	4	3	1	4	chr11:61638522-62602137 (964kb)	.	ENSG00000285656,INCENP,LINC02733,MTA2
314	4	3	1	4	chr11:64317438-64803419 (486kb)	.	ENSG00000286816,MAP4K2,PRDX5,TRMT112
329	4	2	2	2	chr1:167482705-167843601 (361kb)	.	CREG1,MPZL1
336	4	2	2	2	chr11:69048638-69686193 (638kb)	.	LTO1,TPCN2
355	4	1	3	1	chr11:75723309-76207795 (484kb)	.	DGAT2-DT
366	4	3	1	2	chr1:178768718-179293902 (525kb)	.	ABL2,SOAT1
383	4	2	2	3	chr1:18902452-19629472 (727kb)	.	ALDH4A1,EMC1-AS1,UBR4
397	4	1	3	1	chr1:201171461-201709726 (538kb)	.	TMEM9
403	4	1	3	1	chr1:204129119-205961724 (1833kb)	.	TMCC2
417	4	2	2	2	chr12:104628695-104986433 (358kb)	.	NOPCHAP1,SLC41A2
419	4	2	2	3	chr12:106357627-107447111 (1089kb)	.	POLR3B,TMEM263,TMEM263-DT
421	4	1	3	2	chr12:109052425-109805747 (753kb)	.	KCTD10,UBE3B
458	4	3	1	4	chr12:123300858-123633921 (333kb)	.	DDX55,EIF2B1,GTF2H3,TMED2
464	4	3	1	3	chr1:212665292-213051800 (387kb)	.	ANGEL2,LINC02773,RPS6KC1
470	4	1	3	1	chr12:131779234-132400639 (621kb)	.	EP400
482	4	2	2	2	chr1:220272133-220841306 (569kb)	.	MTARC2,RAB3GAP2
487	4	1	3	1	chr1:222097710-222644615 (547kb)	.	MIA3
504	4	1	3	1	chr12:26853092-27820465 (967kb)	.	STK38L
508	4	1	3	1	chr12:2034969-2903931 (869kb)	.	FKBP4
520	4	2	2	3	chr1:231211399-231691887 (480kb)	.	C1orf131,DISC1,GNPAT
523	4	3	1	3	chr1:23177556-23801035 (623kb)	.	GALE,ID3,LUZP1
528	4	2	2	3	chr1:23367998-24413882 (1046kb)	.	ELOA-AS1,PITHD1,ZNF436-AS1
534	4	2	2	2	chr1:23484088-24019134 (535kb)	.	ASAP3,ELOA
539	4	1	3	1	chr1:235920324-236491913 (572kb)	.	ERO1B
546	4	2	2	3	chr12:42238622-42799695 (561kb)	.	PPHLN1,YAF2,ZCRB1
551	4	1	3	1	chr12:10028-576391 (566kb)	.	B4GALNT3
557	4	1	3	2	chr12:47819840-48351211 (531kb)	.	ENSG00000257735,ZNF641
563	4	3	1	3	chr12:49110541-49867403 (757kb)	.	ENSG00000258101,LMBR1L,TUBA1B
567	4	2	2	2	chr12:51047806-51993361 (946kb)	.	LETMD1,POU6F1
572	4	3	1	3	chr12:53159918-54549565 (1390kb)	.	ENSG00000257808,HOXC5,PDE1B
578	4	2	2	2	chr1:25378738-26356949 (978kb)	.	ENSG00000255054,LDLRAP1
586	4	2	2	2	chr12:55830001-56689015 (859kb)	.	DNAJC14,PTGES3
603	4	3	1	3	chr12:6554502-7190048 (636kb)	.	C1RL,ENO2,ENSG00000255572
605	4	2	2	2	chr12:6613594-7019059 (405kb)	.	CHD4,LPCAT3
621	4	2	2	2	chr12:8032590-8891275 (859kb)	.	FOXJ2,RIMKLB
623	4	1	3	1	chr1:28167393-28888283 (721kb)	.	EPB41
649	4	1	3	1	chr1:31714539-32933676 (1219kb)	.	KPNA6
653	4	2	2	2	chr1:32040390-33338761 (1298kb)	.	BSDC1,KIAA1522
672	4	1	3	2	chr13:40325731-41061918 (736kb)	.	ELF1,WBP4
673	4	2	2	2	chr13:41194471-42272786 (1078kb)	.	AKAP11,KBTBD7
685	4	2	2	3	chr13:49690852-50378731 (688kb)	.	DLEU2,EBPL,ENSG00000274270
695	4	1	3	2	chr1:35568997-36440726 (872kb)	.	AGO3,ENSG00000271914
702	4	1	3	1	chr13:78169465-79102470 (933kb)	.	OBI1
708	4	1	3	1	chr1:39081345-39610053 (529kb)	.	MACF1
714	4	2	2	2	chr13:94016887-94942450 (926kb)	.	ENSG00000289878,GPR180
740	4	3	1	5	chr1:41661649-42767590 (1106kb)	.	C1orf50,ENSG00000283580,FOXJ3,P3H1,RIMKLA
755	4	3	1	4	chr14:22829764-23469976 (640kb)	.	MRPL52,NGDN,SLC22A17,SLC7A7
759	4	2	2	3	chr1:42757087-43390005 (633kb)	.	ENSG00000288955,MED8,SZT2
766	4	2	2	3	chr14:35343850-36520886 (1177kb)	.	INSM2,NKX2-1,SFTA3
785	4	3	1	3	chr14:52594314-52792388 (198kb)	.	ENSG00000285664,GNPNAT1,STYX
794	4	2	2	4	chr14:58171032-58297987 (127kb)	.	ARID4A,ARMH4,PSMA3,PSMA3-AS1
801	4	1	3	1	chr14:61261858-61859380 (598kb)	.	SNAPC1
809	4	2	2	3	chr14:68548171-69409670 (861kb)	.	ACTN1,ACTN1-DT,ENSG00000258520
826	4	2	2	3	chr14:75176768-75578002 (401kb)	.	ENSG00000273565,FLVCR2,TMED10
829	4	1	3	2	chr14:77033959-77388469 (355kb)	.	CIPC,ENSG00000259164
831	4	3	1	4	chr14:81170333-81534266 (364kb)	.	ENSG00000284959,ENSG00000286686,SEL1L,STON2
841	4	2	2	2	chr15:100341731-101754412 (1413kb)	.	ADAMTS17,PCSK6-AS1
859	4	1	3	1	chr15:40104839-40979409 (875kb)	.	DLL4
866	4	1	3	1	chr15:41578189-42092872 (515kb)	.	EHD4
868	4	1	3	2	chr1:54081716-54448774 (367kb)	.	CYB5RL,ENSG00000256407
870	4	2	2	4	chr15:42548326-43517972 (970kb)	.	ENSG00000285942,HAUS2,LRRC57,TMEM62
876	4	3	1	4	chr15:55408280-55993913 (586kb)	.	CCPG1,DNAAF4-CCPG1,NEDD4,PIERCE2
899	4	2	2	3	chr15:68818179-69299107 (481kb)	.	PAQR5,PAQR5-DT,SPESP1
903	4	2	2	3	chr15:69737492-70854570 (1117kb)	.	LARP6,LRRC49,UACA
915	4	1	3	1	chr15:75104644-75441206 (337kb)	.	COMMD4
922	4	2	2	4	chr15:79016759-80417861 (1401kb)	.	MINAR1,ST20,ST20-AS1,ST20-MTHFS
927	4	2	2	2	chr15:82709385-83062076 (353kb)	.	AP3B2,WHAMM
954	4	1	3	1	chr15:98750686-99100779 (350kb)	.	LUNAR1
961	4	2	2	2	chr16:1025241-1632062 (607kb)	.	ENSG00000260710,ENSG00000261732
979	4	1	3	1	chr1:6238702-6648263 (410kb)	.	ZBTB48
992	4	2	2	2	chr16:29721694-30021095 (299kb)	.	HIRIP3,INO80E
999	4	2	2	2	chr16:2963750-4272056 (1308kb)	.	KREMEN2,ZNF263
1000	4	2	2	2	chr1:63316958-63746542 (430kb)	.	FOXD3,LINC00466
1010	4	1	3	2	chr16:46689073-46929981 (241kb)	.	ORC6,VPS35
1013	4	2	2	2	chr1:64744860-65525718 (781kb)	.	ENSG00000290094,RAVER2
1028	4	1	3	1	chr16:56519806-57284846 (765kb)	.	PLLP
1050	4	1	3	2	chr1:67149254-67833681 (684kb)	.	GNG12,GNG12-AS1
1078	4	1	3	1	chr17:18224715-19321894 (1097kb)	.	LLGL1
1086	4	1	3	1	chr17:20093267-21253620 (1160kb)	.	NATD1
1087	4	1	3	1	chr17:20514310-21594088 (1080kb)	.	KCNJ12
1088	4	2	2	2	chr17:27880331-29112091 (1232kb)	.	ENSG00000265254,PHF12
1107	4	1	3	1	chr17:35567815-35670431 (103kb)	.	SNHG30
1112	4	2	2	2	chr17:39197423-40433857 (1236kb)	.	CACNB1,ERBB2
1115	4	2	2	2	chr17:40013765-40702150 (688kb)	.	ENSG00000265799,NR1D1
1118	4	3	1	5	chr17:4142987-4940400 (797kb)	.	ARRB2,CYB5D2,RNF167,SLC25A11,ZZEF1
1123	4	2	2	2	chr17:42050367-42964569 (914kb)	.	AARSD1,C17orf113
1127	4	3	1	5	chr17:4263632-4987227 (724kb)	.	ANKFY1,CAMTA2,CAMTA2-AS1,ENSG00000262227,MED11
1131	4	1	3	1	chr17:43832868-44351031 (518kb)	.	MPP3
1150	4	2	2	3	chr17:48415869-49789422 (1374kb)	.	FAM117A,HOXB5,KAT7
1165	4	2	2	3	chr17:56977744-57454591 (477kb)	.	AKAP1,AKAP1-DT,SCPEP1
1176	4	1	3	2	chr17:60142909-61629105 (1486kb)	.	APPBP2,APPBP2-DT
1188	4	1	3	1	chr1:7582934-7961996 (379kb)	.	VAMP3
1190	4	2	2	3	chr17:7239383-7997386 (758kb)	.	PHF23,POLR2A,ZBTB4
1197	4	2	2	3	chr17:74454063-75271375 (817kb)	.	HID1,MIF4GD,MIF4GD-DT
1199	4	1	3	1	chr17:74982286-75240918 (259kb)	.	NT5C
1208	4	1	3	1	chr17:7704883-8913055 (1208kb)	.	EFNB3
1212	4	1	3	1	chr17:78214653-79803766 (1589kb)	.	BIRC5
1215	4	1	3	1	chr17:78197346-78646850 (450kb)	.	ENSG00000289922
1229	4	2	2	4	chr17:81733786-82450585 (717kb)	.	CYBC1,DCXR,DCXR-DT,ENSG00000287193
1231	4	1	3	1	chr17:7887490-8631531 (744kb)	.	MYH10
1232	4	1	3	2	chr17:82672091-83205950 (534kb)	.	ENSG00000289945,RAB40B
1235	4	2	2	5	chr18:110211-658114 (548kb)	.	ENSG00000263727,THOC1,THOC1-DT,TYMS,TYMSOS
1239	4	2	2	2	chr18:23570808-24427050 (856kb)	.	IMPACT,OSBPL1A
1263	4	1	3	2	chr1:84506080-85465230 (959kb)	.	GNG5,SPATA1
1283	4	2	2	3	chr1:89525326-90354846 (830kb)	.	ENSG00000286548,LRRC8B,ZNF326
1291	4	3	1	3	chr19:9791627-10565439 (774kb)	.	EIF3G,KRI1,ZNF846
1297	4	1	3	1	chr19:10864462-11450938 (586kb)	.	LDLR
1298	4	1	3	1	chr19:11139320-12295345 (1156kb)	.	ZNF44
1301	4	2	2	3	chr19:12400561-12983811 (583kb)	.	ENSG00000268744,RNASEH2A,ZNF799
1303	4	2	2	3	chr19:12681051-13194767 (514kb)	.	DHPS,ENSG00000285589,GET3
1309	4	2	2	2	chr19:1479462-1929745 (450kb)	.	C19orf25,MBD3
1319	4	1	3	1	chr19:17305616-17616711 (311kb)	.	CCDC194
1339	4	2	2	3	chr19:32560271-33522088 (962kb)	.	CEBPA,CEBPA-DT,PEPD
1352	4	2	2	2	chr19:3545125-4670191 (1125kb)	.	MYDGF,ZBTB7A
1356	4	3	1	4	chr19:36139861-36838960 (699kb)	.	CAPNS1,ZNF461,ZNF567,ZNF567-DT
1359	4	2	2	2	chr19:37078097-37656327 (578kb)	.	ENSG00000267345,ZNF570
1361	4	3	1	4	chr19:38315780-38976374 (661kb)	.	ECH1,ENSG00000287271,FBXO17,PSMD8
1375	4	2	2	2	chr19:41793237-42447346 (654kb)	.	ENSG00000285505,ERFL
1384	4	3	1	3	chr19:44784105-45769731 (986kb)	.	ERCC1,GEMIN7-AS1,SIX5
1392	4	3	1	3	chr19:461673-991947 (530kb)	.	CDC34,MADCAM1,SHC2
1397	4	2	2	2	chr19:47713459-49364157 (1651kb)	.	EHD2,ENSG00000268093
1398	4	3	1	5	chr1:94417958-94927592 (510kb)	.	ABCD3,CNN3,CNN3-DT,ENSG00000286692,SLC44A3
1406	4	2	2	2	chr19:4584289-5828739 (1244kb)	.	ENSG00000289543,SAFB
1437	4	1	3	1	chr20:2352140-3218906 (867kb)	.	ENSG00000256566
1439	4	3	1	3	chr20:2508792-2873463 (365kb)	.	ENSG00000256566,NOP56,PTPRA
1445	4	2	2	3	chr20:31572850-32207915 (635kb)	.	HM13-AS1,PLAGL2,POFUT1
1451	4	1	3	2	chr20:34145283-34363779 (218kb)	.	ENSG00000289720,ITCH
1459	4	2	2	3	chr20:35955095-36573690 (619kb)	.	CNBD2,DLGAP4-AS1,TGIF2
1460	4	1	3	1	chr20:36353587-37339721 (986kb)	.	SOGA1
1468	4	2	2	4	chr20:37527618-38731720 (1204kb)	.	BLCAP,ENSG00000276603,RPRD1B,TTI1
1470	4	2	2	2	chr20:38472512-38915412 (443kb)	.	ARHGAP40,RALGAPB
1488	4	2	2	2	chr20:50635774-51023308 (388kb)	.	KCNG1,PARD6B
1490	4	2	2	2	chr20:53162490-54173886 (1011kb)	.	CYP24A1,ENSG00000259723
1491	4	1	3	2	chr20:56541603-57425338 (884kb)	.	BMP7,ENSG00000226308
1499	4	1	3	2	chr20:62065850-62794682 (729kb)	.	ENSG00000283078,TAF4
1506	4	2	2	3	chr20:62937814-63956674 (1019kb)	.	DIDO1,GID8,UCKL1
1538	4	3	1	6	chr2:130181569-130756522 (575kb)	.	AMER3,CCDC115,ENSG00000229797,IMP4,MZT2B,SMPD4
1547	4	2	2	3	chr21:36069827-37060609 (991kb)	.	CBR1,ENSG00000289001,HLCS-AS1
1555	4	2	2	2	chr21:42010268-42974919 (965kb)	.	PKNOX1,ZBTB21
1557	4	2	2	3	chr21:43582134-44297895 (716kb)	.	HSF2BP,PWP2,RRP1B
1571	4	1	3	1	chr2:158722987-159344852 (622kb)	.	TANC1
1574	4	1	3	1	chr2:169012238-169734068 (722kb)	.	PPIG
1575	4	2	2	2	chr2:169509663-169899101 (389kb)	.	KLHL41,UBR3
1579	4	1	3	2	chr2:170973819-171738882 (765kb)	.	DCAF17,METTL8
1609	4	3	1	2	chr2:207165789-207625898 (460kb)	.	METTL21A,MYOSLID
1625	4	1	3	1	chr22:18884495-19948026 (1064kb)	.	ENSG00000279987
1628	4	3	1	3	chr2:218996104-219229871 (234kb)	.	ANKZF1,ATG9A,CNPPD1
1636	4	2	2	2	chr22:20917979-21837525 (920kb)	.	CRKL,YDJC
1645	4	3	1	5	chr22:23145119-23751750 (607kb)	.	ENSG00000290440,GUSBP11,RAB36,RSPH14,ZNF70
1648	4	1	3	1	chr22:24603761-25383503 (780kb)	.	SGSM1
1650	4	1	3	1	chr22:27257976-27801971 (544kb)	.	MN1
1651	4	2	2	2	chr22:27918647-28773167 (855kb)	.	CCDC117,TTC28-AS1
1652	4	1	3	1	chr22:27710523-29245766 (1535kb)	.	ZNRF3
1661	4	2	2	3	chr22:30634476-31588345 (954kb)	.	ENSG00000287817,LINC01521,PATZ1
1663	4	2	2	2	chr22:30763816-31977456 (1214kb)	.	LINC02558,PLA2G3
1670	4	1	3	1	chr2:231192441-231786943 (595kb)	.	PDE6D
1683	4	1	3	1	chr22:36221884-37212780 (991kb)	.	SSTR3
1695	4	2	2	3	chr2:23899901-24600382 (700kb)	.	FKBP1B,ITSN2,WDCP
1712	4	1	3	1	chr22:43273998-44498775 (1225kb)	.	RTL6
1727	4	1	3	3	chr2:2708689-3558688 (850kb)	.	ENSG00000286905,RNASEH1,RNASEH1-DT
1733	4	1	3	2	chr2:42783421-43226532 (443kb)	.	LINC01126,ZFP36L2
1750	4	2	2	1	chr2:55482551-56050892 (568kb)	.	CFAP36
1755	4	2	2	3	chr2:61017361-62264968 (1248kb)	.	PEX13,PUS10,XPO1
1791	4	2	2	2	chr2:84925686-85802917 (877kb)	.	ENSG00000287625,TCF7L1
1796	4	2	2	3	chr2:9142782-9984392 (842kb)	.	ENSG00000240980,ENSG00000287305,GRHL1
1799	4	2	2	2	chr2:94602330-96325432 (1723kb)	.	ITPRIPL1,MRPS5
1804	4	1	3	1	chr2:96174611-96801436 (627kb)	.	LMAN2L
1809	4	2	2	3	chr2:98649511-99336193 (687kb)	.	MGAT4A,MITD1,MRPL30
1814	4	2	2	3	chr3:101147184-101676672 (529kb)	.	TRMT10C,ZBTB11,ZBTB11-AS1
1829	4	1	3	1	chr3:11784013-12995217 (1211kb)	.	TSEN2
