peak1	peak2	coaccess	qval	type1	type2	n_links
chr12:108803642-108803803	chr12:109062374-109062524	0.559066	0	distal	distal	2
chr12:109052425-109053070	chr12:109238948-109239204	0.0484476	0.00417973	distal	distal	2
chr12:109052425-109053070	chr12:109805410-109805747	0.0595937	6.08338e-05	distal	distal	2
chr12:109097897-109098245	chr12:109476975-109477466	0.0362001	0.156788	proximal	proximal	4
chr12:109154506-109154879	chr12:109597367-109597527	0.0996339	0	distal	distal	2
chr12:109573187-109573930	chr12:110449784-110450119	0.024249	0.612027	proximal	proximal	4
chr12:109713456-109713799	chr12:109833130-109833510	0.0311423	0.516892	proximal	proximal	2
chr12:109805410-109805747	chr12:109845333-109845614	0.0368502	0.132744	distal	distal	2
chr12:109833130-109833510	chr12:109998993-109999617	0.0555206	0.000316181	proximal	proximal	2
chr12:109996077-109996485	chr12:110403335-110403816	0.0322829	0.400415	proximal	proximal	2
chr12:109998993-109999617	chr12:110403335-110403816	0.0224102	0.612027	proximal	proximal	2
chr12:110022196-110022476	chr12:110431469-110431656	0.119425	0	distal	distal	2
chr12:110048319-110048760	chr12:110306440-110306893	0.0558246	0.000280841	distal	distal	2
chr12:110306440-110306893	chr12:110431469-110431656	0.0284285	0.612027	distal	distal	2
chr12:110449784-110450119	chr12:110501748-110502360	0.0364097	0.148685	proximal	proximal	4
chr12:110501748-110502360	chr12:111034580-111035167	0.0227235	0.612027	proximal	proximal	4
chr12:110826709-110827106	chr12:110969436-110969586	0.0881718	2.0633e-11	distal	distal	2
chr12:111298944-111299129	chr12:111490407-111490557	0.0998699	0	distal	distal	2
chr12:111531623-111531796	chr12:112387436-112387802	0.07128	2.79228e-07	distal	distal	2
chr12:111599205-111599397	chr12:112125329-112126025	0.0541685	0.000531702	proximal	proximal	4
chr12:112013908-112014082	chr12:112108485-112108890	0.0475126	0.00571871	proximal	proximal	4
chr12:112198015-112198474	chr12:112409483-112409854	0.025171	0.612027	distal	distal	2
chr12:112409082-112409397	chr12:112409483-112409854	0.146687	0	distal	distal	2
chr1:211413100-211413250	chr1:211515513-211515791	0.0846282	1.78857e-10	distal	distal	2
chr1:211515247-211515400	chr1:212213691-212213929	0.169769	0	distal	distal	2
chr1:211515247-211515400	chr1:212308311-212308509	0.0294922	0.612027	distal	distal	2
chr1:211515513-211515791	chr1:212129204-212129381	0.0664847	2.84963e-06	distal	distal	2
chr1:211578771-211579020	chr1:211579132-211579715	0.377261	0	proximal	proximal	2
chr1:211592181-211592542	chr1:211947501-211947710	0.401303	0	distal	distal	2
chr12:116122714-116122864	chr12:116197326-116197626	0.0867567	4.94047e-11	distal	distal	2
chr12:116697205-116697517	chr12:117190208-117190662	0.159482	0	proximal	proximal	2
chr1:211675273-211676235	chr1:212415369-212415519	0.0383954	0.0883226	proximal	proximal	4
chr12:1170443-1170707	chr12:643018-643209	0.197042	0	distal	distal	2
chr12:1171697-1171949	chr12:949401-950038	0.0631093	1.33089e-05	distal	distal	2
chr12:118016500-118017029	chr12:118076689-118076839	0.27268	0	distal	distal	2
chr12:118136223-118136485	chr12:118372768-118373228	0.0688219	9.40866e-07	proximal	proximal	4
chr12:119534116-119534266	chr12:119835088-119835302	0.245905	0	distal	distal	2
chr12:119688517-119688743	chr12:120325519-120325709	0.0753264	3.44654e-08	distal	distal	2
chr12:119775675-119775905	chr12:120325519-120325709	0.164303	0	distal	distal	2
chr12:120116583-120117366	chr12:120641439-120641696	0.0454745	0.0110673	proximal	proximal	8
chr12:120291281-120291977	chr12:120742317-120742500	0.31341	0	distal	distal	2
chr12:120292044-120292389	chr12:120599127-120599405	0.0532354	0.000756588	distal	distal	2
chr12:120292044-120292389	chr12:120649273-120649517	0.0433484	0.0213889	distal	distal	2
chr12:120292729-120293279	chr12:120925826-120926038	0.0318803	0.438352	distal	distal	2
chr1:212034960-212035792	chr1:212432764-212433136	0.0265136	0.612027	proximal	proximal	8
chr12:120534239-120534433	chr12:120761653-120761985	0.0481004	0.00469721	proximal	proximal	6
chr12:120649273-120649517	chr12:121105180-121105403	0.212036	0	distal	distal	2
chr12:120686272-120687498	chr12:121209825-121210463	0.216788	0	proximal	proximal	2
chr12:120713975-120714155	chr12:121352012-121352618	0.0330902	0.333322	distal	distal	2
chr12:120742317-120742500	chr12:121110416-121110573	0.0589094	8.09163e-05	distal	distal	2
chr12:121016390-121016618	chr12:121888433-121888922	0.0646517	6.65851e-06	proximal	proximal	6
chr12:121051376-121051547	chr12:121839372-121839843	0.0437146	0.0191306	distal	distal	2
chr12:121110416-121110573	chr12:121839372-121839843	0.121819	0	distal	distal	2
chr1:212129204-212129381	chr1:212870745-212870895	0.250123	0	distal	distal	2
chr12:121296633-121297275	chr12:121793649-121794884	0.0260862	0.612027	distal	distal	2
chr12:121352012-121352618	chr12:121443295-121443578	0.120213	0	distal	distal	2
chr12:121352012-121352618	chr12:121514332-121514678	0.0270819	0.612027	distal	distal	2
chr12:121352012-121352618	chr12:121811716-121812279	0.0838361	2.87019e-10	distal	distal	2
chr12:121443295-121443578	chr12:121663960-121664169	0.100247	0	distal	distal	2
chr12:121443295-121443578	chr12:121811716-121812279	0.0997092	0	distal	distal	2
chr12:121467057-121467978	chr12:121663960-121664169	0.0428637	0.0247608	distal	distal	2
chr12:121467057-121467978	chr12:121811716-121812279	0.0508166	0.00182873	distal	distal	2
chr12:121580334-121580619	chr12:121626045-121626842	0.0390688	0.073548	proximal	proximal	4
chr12:121626045-121626842	chr12:121626942-121627309	0.0313981	0.488501	proximal	proximal	2
chr12:121626045-121626842	chr12:122422441-122422774	0.0444697	0.015155	proximal	proximal	2
chr12:121672365-121672515	chr12:121888433-121888922	0.0478992	0.0050308	proximal	proximal	6
chr12:121690863-121691126	chr12:122165111-122165261	0.132047	0	distal	distal	2
chr12:121712607-121713075	chr12:122266315-122266664	0.0224501	0.612027	proximal	proximal	4
chr12:121795027-121795222	chr12:122400384-122400740	0.0561236	0.000249611	distal	distal	2
chr12:121811716-121812279	chr12:122368572-122368744	0.0609596	3.41157e-05	distal	distal	2
chr12:121888433-121888922	chr12:122422441-122422774	0.0502739	0.00221938	proximal	proximal	6
chr12:121888433-121888922	chr12:122423223-122423547	0.0306706	0.572612	proximal	proximal	12
chr12:121888983-121889198	chr12:122421883-122422045	0.0236069	0.612027	proximal	proximal	6
chr12:122021801-122022067	chr12:122097950-122098100	0.0880539	2.22047e-11	distal	distal	2
chr12:122021801-122022067	chr12:122196980-122197158	0.110549	0	distal	distal	2
chr12:122029307-122029457	chr12:122190961-122191154	0.101762	0	distal	distal	2
chr12:122078257-122079042	chr12:122775109-122775325	0.0702143	4.76136e-07	proximal	proximal	2
chr12:122093921-122094071	chr12:122185690-122185875	0.102654	0	distal	distal	2
chr1:212213691-212213929	chr1:212308311-212308509	0.173719	0	distal	distal	2
chr1:212213691-212213929	chr1:212942628-212942778	0.219811	0	distal	distal	2
chr12:122196980-122197158	chr12:122915153-122915343	0.0935618	6.41245e-13	distal	distal	2
chr12:122422441-122422774	chr12:122423223-122423547	0.0771072	1.32201e-08	proximal	proximal	4
chr12:12266845-12267472	chr12:12890610-12891067	0.0654023	4.71622e-06	proximal	proximal	2
chr12:12281466-12281616	chr12:12716817-12717634	0.0540945	0.000546867	distal	distal	2
chr12:122835663-122835838	chr12:122915153-122915343	0.0329204	0.34653	distal	distal	2
chr12:122888545-122888731	chr12:122888848-122889072	0.143211	0	distal	distal	2
chr12:122974569-122974845	chr12:122980561-122980715	0.0791795	4.19438e-09	proximal	proximal	4
chr1:212308311-212308509	chr1:212942628-212942778	0.0382141	0.092745	distal	distal	2
chr1:21232030-21232329	chr1:21270258-21270408	0.150376	0	distal	distal	2
chr12:123427031-123427212	chr12:123552561-123552836	0.0554266	0.00032775	distal	distal	2
chr12:123534371-123534612	chr12:123670931-123671161	0.041599	0.0360171	proximal	proximal	2
chr12:123583881-123584217	chr12:123601750-123602094	0.202693	0	proximal	proximal	2
chr12:123583881-123584217	chr12:123633482-123633921	0.0437208	0.0190959	proximal	proximal	4
chr1:212368063-212368487	chr1:212457867-212458039	0.0882756	1.93841e-11	distal	distal	2
chr12:124131101-124131311	chr12:124636203-124636598	0.0683863	1.16049e-06	distal	distal	2
chr1:212415369-212415519	chr1:212665292-212665792	0.0333797	0.311674	proximal	proximal	2
chr12:1241866-1242016	chr12:1576591-1576801	0.356871	0	distal	distal	2
chr12:1241866-1242016	chr12:525135-525308	0.135179	0	distal	distal	2
chr12:124551466-124551837	chr12:124636203-124636598	0.185606	0	distal	distal	2
chr12:124838231-124838426	chr12:124864153-124864478	0.219753	0	distal	distal	2
chr12:124891058-124891363	chr12:124927680-124927967	0.0615795	2.61398e-05	distal	distal	2
chr12:124914450-124914789	chr12:124940735-124940917	0.027458	0.612027	distal	distal	2
chr12:124914450-124914789	chr12:125168493-125168710	0.099148	2.61359e-14	distal	distal	2
chr12:125050244-125050394	chr12:125220421-125220764	0.102265	0	distal	distal	2
chr1:212645958-212646241	chr1:212833401-212833551	0.0259385	0.612027	distal	distal	2
chr1:212665292-212665792	chr1:213016053-213016203	0.26598	0	proximal	proximal	2
chr1:212665292-212665792	chr1:213051125-213051800	0.191666	0	proximal	proximal	2
chr1:212699654-212699987	chr1:213015193-213015982	0.22812	0	proximal	proximal	2
chr12:12716817-12717634	chr12:12788223-12788397	0.129278	0	distal	distal	2
chr12:12725145-12726083	chr12:12813144-12813395	0.0220417	0.612027	proximal	proximal	2
chr12:12725145-12726083	chr12:13278311-13278692	0.144038	0	proximal	proximal	2
chr12:12818837-12819020	chr12:13117723-13117873	0.171119	0	distal	distal	2
chr1:212857535-212857839	chr1:213050807-213051042	0.0607073	3.7997e-05	proximal	proximal	4
chr1:212857914-212858603	chr1:213051125-213051800	0.0324942	0.381653	proximal	proximal	4
chr1:212967843-212967993	chr1:213445966-213446116	0.138251	0	distal	distal	2
chr1:213016053-213016203	chr1:213051125-213051800	0.0528326	0.000878533	proximal	proximal	2
chr1:213082310-213082566	chr1:213445966-213446116	0.107884	0	distal	distal	2
chr12:131017479-131017629	chr12:131071265-131071477	0.189312	0	distal	distal	2
chr12:131779234-131779384	chr12:132243000-132243327	0.129274	0	distal	distal	2
chr12:131865177-131865327	chr12:132241246-132241635	0.0959214	1.27351e-13	distal	distal	2
chr12:131966276-131966442	chr12:132243000-132243327	0.0233038	0.612027	distal	distal	2
chr12:132001422-132001772	chr12:132652358-132652562	0.0223728	0.612027	distal	distal	2
chr12:132083859-132084608	chr12:132710505-132710943	0.0484676	0.00415251	proximal	proximal	4
chr12:132083859-132084608	chr12:132887453-132888056	0.0431813	0.0225065	proximal	proximal	4
chr12:132144296-132144462	chr12:132489798-132490163	0.0806148	1.86645e-09	proximal	proximal	4
chr12:132153990-132154206	chr12:132241246-132241635	0.0225133	0.612027	distal	distal	2
chr12:132189409-132190010	chr12:132711027-132711385	0.0229786	0.612027	proximal	proximal	4
chr12:132243000-132243327	chr12:132400489-132400639	0.0655638	4.37654e-06	distal	distal	2
chr12:132594020-132594260	chr12:132711027-132711385	0.0707855	3.57756e-07	proximal	proximal	2
chr12:132686818-132687098	chr12:132687201-132687848	0.0219185	0.612027	proximal	proximal	12
chr12:132687201-132687848	chr12:132710505-132710943	0.0256763	0.612027	proximal	proximal	6
chr12:132887453-132888056	chr12:132985958-132986565	0.0288239	0.612027	proximal	proximal	2
chr12:132985958-132986565	chr12:133129954-133130696	0.0872999	3.54034e-11	proximal	proximal	6
chr12:133080057-133081150	chr12:133129954-133130696	0.2124	0	proximal	proximal	6
chr1:2133171-2133719	chr1:2194750-2195468	0.118046	0	distal	distal	2
chr1:21370594-21370744	chr1:21437122-21437272	0.0246269	0.612027	distal	distal	2
chr1:214280503-214281274	chr1:214551650-214552166	0.02886	0.612027	proximal	proximal	2
chr1:21439956-21440252	chr1:21509109-21509379	0.0409192	0.0438293	proximal	proximal	2
chr12:14803020-14804080	chr12:15322486-15322945	0.0369604	0.129013	proximal	proximal	4
chr12:15220944-15221576	chr12:15789147-15789582	0.0550796	0.000375187	distal	distal	2
chr1:2155166-2155316	chr1:2440320-2440623	0.0352183	0.200764	distal	distal	2
chr1:2155166-2155316	chr1:2869399-2869573	0.0593084	6.85045e-05	distal	distal	2
chr1:21607758-21608228	chr1:22150468-22150618	0.0286251	0.612027	distal	distal	2
chr1:21607758-21608228	chr1:22297651-22297928	0.103815	0	distal	distal	2
chr1:216723217-216723391	chr1:217135165-217135509	0.100851	0	distal	distal	2
chr12:1690521-1691488	chr12:1764440-1764748	0.066844	2.41074e-06	distal	distal	2
chr1:21770994-21771144	chr1:21905094-21905250	0.195514	0	distal	distal	2
chr12:188958-189427	chr12:949401-950038	0.0726766	1.37792e-07	distal	distal	2
chr12:19337689-19338028	chr12:19862213-19862576	0.0283933	0.612027	distal	distal	2
chr12:1952237-1952398	chr12:1993061-1993224	0.0355537	0.184801	distal	distal	2
chr1:219724646-219724829	chr1:220260594-220260952	0.156064	0	distal	distal	2
chr1:219839342-219839963	chr1:220300488-220300751	0.0327967	0.356163	distal	distal	2
chr1:219840034-219840364	chr1:220302655-220302957	0.0353414	0.194823	distal	distal	2
chr1:219840034-219840364	chr1:220324493-220324643	0.531795	0	distal	distal	2
chr1:220026688-220026863	chr1:220300488-220300751	0.04451	0.0149661	distal	distal	2
chr1:220088675-220088825	chr1:220983972-220984122	0.0883354	1.86692e-11	distal	distal	2
chr1:220134900-220135050	chr1:220895502-220895796	0.447967	0	distal	distal	2
chr1:220220417-220220621	chr1:220344818-220344968	0.135734	0	distal	distal	2
chr1:220272133-220272930	chr1:220786248-220786567	0.023575	0.612027	proximal	proximal	4
chr12:2034969-2035222	chr12:2853694-2853869	0.0456642	0.0104195	distal	distal	2
chr1:220527540-220528632	chr1:220690150-220690673	0.0257452	0.612027	proximal	proximal	2
chr1:220557231-220557459	chr1:220935784-220935934	0.159528	0	distal	distal	2
chr1:220786248-220786567	chr1:220879112-220879724	0.0492996	0.00311844	proximal	proximal	12
chr1:22150468-22150618	chr1:22841187-22841337	0.0443846	0.0155694	distal	distal	2
chr12:21527386-21528063	chr12:22255195-22255345	0.104941	0	distal	distal	2
chr1:221717111-221717261	chr1:221995847-221995997	0.0468591	0.00709006	distal	distal	2
chr1:221940291-221940463	chr1:222221904-222222094	0.0656426	4.21847e-06	distal	distal	2
chr12:22046763-22047062	chr12:22543864-22544828	0.063656	1.04336e-05	proximal	proximal	2
chr1:222097710-222097869	chr1:222643654-222644615	0.0419423	0.0325755	distal	distal	2
chr1:222221904-222222094	chr1:222465501-222465911	0.0767238	1.62855e-08	distal	distal	2
chr1:222497311-222497461	chr1:222643654-222644615	0.122895	0	distal	distal	2
chr1:223023126-223023572	chr1:223531735-223531986	0.0553934	0.000331922	distal	distal	2
chr1:223081244-223081696	chr1:223182092-223182507	0.0815286	1.10657e-09	distal	distal	2
chr1:223081244-223081696	chr1:223707313-223707487	0.0282268	0.612027	distal	distal	2
chr1:22357776-22357926	chr1:22858254-22858563	0.183956	0	distal	distal	2
chr1:223749199-223749352	chr1:224433549-224433699	0.18946	0	distal	distal	2
chr12:237515-237686	chr12:949401-950038	0.0424786	0.0277676	distal	distal	2
chr1:223845541-223846496	chr1:223993326-223993560	0.0466514	0.00758726	proximal	proximal	12
chr1:223845541-223846496	chr1:224434579-224434984	0.0948648	2.75551e-13	proximal	proximal	4
chr1:224050873-224051045	chr1:224470362-224470603	0.277309	0	distal	distal	2
chr1:224113951-224114803	chr1:224356663-224357614	0.0507397	0.00187917	proximal	proximal	2
chr1:224129888-224130103	chr1:224681763-224681913	0.0391876	0.0712321	distal	distal	2
chr1:224333446-224333601	chr1:224736978-224737239	0.032585	0.373854	distal	distal	2
chr1:224633137-224633323	chr1:224795740-224796033	0.289895	0	distal	distal	2
chr1:224736978-224737239	chr1:224929310-224930073	0.132182	0	distal	distal	2
chr1:224736978-224737239	chr1:225359853-225360003	0.0755984	2.97958e-08	distal	distal	2
chr1:225004534-225004747	chr1:225987625-225987775	0.0232994	0.612027	distal	distal	2
chr12:25124747-25125060	chr12:25692518-25692683	0.176049	0	distal	distal	2
chr1:225517229-225517417	chr1:225772421-225772610	0.233531	0	distal	distal	2
chr1:225517229-225517417	chr1:226142942-226143225	0.0585824	9.25953e-05	distal	distal	2
chr1:225615053-225615246	chr1:225975942-225976295	0.0249289	0.612027	distal	distal	2
chr1:225642306-225642579	chr1:226142942-226143225	0.169075	0	distal	distal	2
chr1:225720429-225720760	chr1:226002777-226002991	0.121146	0	distal	distal	2
chr1:225720429-225720760	chr1:226294237-226294506	0.0320178	0.425214	distal	distal	2
chr1:225746671-225747151	chr1:226197012-226197320	0.238268	0	distal	distal	2
chr1:225809705-225810586	chr1:226186215-226187105	0.0222234	0.612027	proximal	proximal	2
chr1:22582605-22582851	chr1:22790539-22790689	0.0516146	0.00137191	distal	distal	2
chr12:2583785-2584082	chr12:3200198-3200486	0.137151	0	distal	distal	2
chr1:225845655-225846143	chr1:226223830-226223980	0.0353263	0.19555	proximal	proximal	2
chr1:225881889-225883204	chr1:226186215-226187105	0.0506422	0.00194602	proximal	proximal	2
chr1:225962471-225962632	chr1:226197012-226197320	0.0236926	0.612027	distal	distal	2
chr1:225987625-225987775	chr1:226125256-226125442	0.0667881	2.4754e-06	distal	distal	2
chr1:225988410-225988747	chr1:226121541-226122329	0.0253735	0.612027	distal	distal	2
chr1:225988410-225988747	chr1:226390206-226390356	0.0519982	0.00119402	distal	distal	2
chr1:225999082-226000106	chr1:226224079-226224229	0.128962	0	proximal	proximal	4
chr1:226002777-226002991	chr1:226122587-226122804	0.0553456	0.000338187	distal	distal	2
chr1:226002777-226002991	chr1:226294237-226294506	0.301552	0	distal	distal	2
chr1:226040704-226040856	chr1:226294237-226294506	0.0321896	0.408892	distal	distal	2
chr1:226074818-226074968	chr1:226480545-226480764	0.246291	0	distal	distal	2
chr1:226083142-226084232	chr1:226407615-226408706	0.0441253	0.0168618	proximal	proximal	2
chr1:226122587-226122804	chr1:226626332-226626766	0.188133	0	distal	distal	2
chr12:26126532-26126710	chr12:26937689-26938584	0.0826096	5.89573e-10	proximal	proximal	4
chr1:226142942-226143225	chr1:226951424-226951613	0.166588	0	distal	distal	2
chr1:226197012-226197320	chr1:226575409-226575559	0.153046	0	distal	distal	2
chr1:226294237-226294506	chr1:226633944-226634392	0.127857	0	distal	distal	2
chr1:226560659-226560809	chr1:226951424-226951613	0.0786592	5.61065e-09	distal	distal	2
chr1:226626332-226626766	chr1:227198568-227198730	0.0846	1.81899e-10	distal	distal	2
chr1:226675171-226675321	chr1:226870260-226870905	0.0286375	0.612027	proximal	proximal	4
chr1:226675171-226675321	chr1:226939857-226940472	0.0429921	0.0238325	proximal	proximal	2
chr1:226703085-226703676	chr1:226951424-226951613	0.0656793	4.14676e-06	distal	distal	2
chr1:226711276-226711460	chr1:226892610-226892760	0.130587	0	distal	distal	2
chr1:226711276-226711460	chr1:226964511-226964661	0.189949	0	distal	distal	2
chr1:226797491-226797641	chr1:227234506-227234719	0.138489	0	distal	distal	2
chr1:226827965-226828370	chr1:226939376-226939776	0.0318113	0.445446	proximal	proximal	2
chr1:226892610-226892760	chr1:226964511-226964661	0.0231852	0.612027	distal	distal	2
chr1:22704322-22704805	chr1:22903344-22903494	0.0219416	0.612027	distal	distal	2
chr1:22710199-22710349	chr1:23168624-23169036	0.163943	0	proximal	proximal	2
chr1:22710199-22710349	chr1:23367998-23368573	0.0297728	0.612027	proximal	proximal	2
chr12:27119725-27120065	chr12:27499356-27499593	0.0995817	0	distal	distal	2
chr12:27142252-27142417	chr12:27820271-27820465	0.107219	0	distal	distal	2
chr1:227429548-227429710	chr1:227762503-227762764	0.184872	0	distal	distal	2
chr1:227547095-227547352	chr1:228471857-228472168	0.0267289	0.612027	distal	distal	2
chr12:27652229-27652449	chr12:27969238-27969493	0.0733486	9.74512e-08	distal	distal	2
chr1:227728341-227728721	chr1:228082381-228082816	0.0260775	0.612027	proximal	proximal	2
chr1:227730414-227730837	chr1:227954018-227954168	0.0588633	8.25015e-05	distal	distal	2
chr1:22780797-22781081	chr1:22841187-22841337	0.271097	0	distal	distal	2
chr1:227828887-227829142	chr1:228321395-228321562	0.028786	0.612027	distal	distal	2
chr1:227845190-227845348	chr1:228103223-228103616	0.0477382	0.00530852	distal	distal	2
chr1:227845190-227845348	chr1:228174394-228174666	0.0293411	0.612027	distal	distal	2
chr1:227858406-227858556	chr1:228174394-228174666	0.100408	0	distal	distal	2
chr12:2795782-2795991	chr12:2812459-2813306	0.0395928	0.0637327	proximal	proximal	4
chr12:27969238-27969493	chr12:28115551-28115701	0.144892	0	distal	distal	2
chr1:228059652-228060489	chr1:228635313-228635806	0.283774	0	distal	distal	2
chr1:228098780-228098991	chr1:228500934-228501207	0.0376301	0.108258	distal	distal	2
chr1:228098780-228098991	chr1:228781746-228782092	0.0860089	7.78951e-11	distal	distal	2
chr1:228173662-228174276	chr1:228632881-228633226	0.0369356	0.129831	distal	distal	2
chr1:228174394-228174666	chr1:228500934-228501207	0.0318967	0.436891	distal	distal	2
chr1:228378719-228379003	chr1:228949109-228949372	0.0975319	5.17006e-14	distal	distal	2
chr1:228500934-228501207	chr1:229396775-229396990	0.3981	0	distal	distal	2
chr12:2853694-2853869	chr12:2903781-2903931	0.0776424	9.84007e-09	distal	distal	2
chr1:228664510-228664680	chr1:228842310-228842515	0.0519699	0.0012066	distal	distal	2
chr1:228664510-228664680	chr1:229221335-229221917	0.0897213	7.79583e-12	distal	distal	2
chr1:228804729-228804910	chr1:229199995-229200298	0.121148	0	distal	distal	2
chr1:228861157-228861479	chr1:229199995-229200298	0.0884991	1.68424e-11	distal	distal	2
chr1:22889346-22889496	chr1:23387499-23387707	0.121949	0	distal	distal	2
chr1:229330498-229330682	chr1:229661120-229661581	0.0700908	5.05223e-07	distal	distal	2
chr1:229507972-229508559	chr1:229558448-229559437	0.0439239	0.0179391	proximal	proximal	4
chr1:229593986-229594277	chr1:229696452-229696602	0.0731468	1.0803e-07	distal	distal	2
chr1:229617496-229617665	chr1:230268965-230269198	0.0949881	2.51063e-13	distal	distal	2
chr1:229661120-229661581	chr1:230093430-230093603	0.252078	0	distal	distal	2
chr1:22971440-22971590	chr1:23267462-23267731	0.0280069	0.612027	distal	distal	2
chr1:229849166-229849349	chr1:230268965-230269198	0.053557	0.000669993	distal	distal	2
chr1:230066608-230067612	chr1:230189186-230189336	0.0231789	0.612027	distal	distal	2
chr1:230189186-230189336	chr1:230310643-230310826	0.0418333	0.0336533	distal	distal	2
chr1:230537424-230537574	chr1:231385172-231385361	0.0443369	0.0158021	distal	distal	2
chr1:230868441-230868971	chr1:230978670-230979243	0.0287731	0.612027	proximal	proximal	8
chr1:230868441-230868971	chr1:231337694-231338570	0.0238118	0.612027	proximal	proximal	4
chr12:31073782-31074306	chr12:31728752-31729492	0.0326366	0.369487	proximal	proximal	8
chr1:231162098-231162718	chr1:231240798-231241582	0.028135	0.612027	proximal	proximal	4
chr12:31370100-31370326	chr12:31728752-31729492	0.0335441	0.299812	proximal	proximal	4
chr12:3152490-3152640	chr12:3200198-3200486	0.204643	0	distal	distal	2
chr12:31532803-31532953	chr12:31659072-31659705	0.0214834	0.612027	distal	distal	2
chr1:23168624-23169036	chr1:23530897-23531548	0.0550193	0.000383977	proximal	proximal	2
chr1:23168624-23169036	chr1:23790783-23791451	0.0598396	5.48988e-05	proximal	proximal	2
chr1:23168624-23169036	chr1:23868128-23868566	0.0426549	0.0263469	proximal	proximal	2
chr1:23177556-23178107	chr1:23559449-23559656	0.0304803	0.596755	proximal	proximal	2
chr1:23177556-23178107	chr1:23800709-23801035	0.0494462	0.00296339	proximal	proximal	2
chr1:232622481-232622741	chr1:233274203-233274353	0.0686995	9.97894e-07	distal	distal	2
chr1:232635875-232636064	chr1:232670277-232670680	0.0615776	2.61589e-05	distal	distal	2
chr1:23267462-23267731	chr1:23651301-23651494	0.130173	0	distal	distal	2
chr12:32755741-32756069	chr12:32756275-32756497	0.126237	0	proximal	proximal	8
chr1:233520538-233520688	chr1:234309825-234310168	0.0596076	6.04826e-05	distal	distal	2
chr1:233635916-233636540	chr1:234066183-234066512	0.0378269	0.102738	distal	distal	2
chr1:23367998-23368573	chr1:23778203-23778500	0.0261057	0.612027	proximal	proximal	4
chr1:233842927-233843298	chr1:234403119-234403274	0.191386	0	distal	distal	2
chr1:233842927-233843298	chr1:234495104-234495385	0.0591363	7.35855e-05	distal	distal	2
chr1:234136368-234136572	chr1:234403119-234403274	0.0631833	1.28834e-05	distal	distal	2
chr1:234478249-234478399	chr1:234957431-234957661	0.26028	0	proximal	proximal	2
chr1:234544052-234544557	chr1:234684263-234684470	0.080452	2.04818e-09	distal	distal	2
chr1:234544693-234545163	chr1:234863399-234863549	0.0661624	3.31063e-06	distal	distal	2
chr1:234544693-234545163	chr1:235114877-235115027	0.0380838	0.0959832	distal	distal	2
chr1:234743776-234744129	chr1:235417214-235417364	0.172046	0	distal	distal	2
chr1:2347472-2347701	chr1:2869399-2869573	0.0364078	0.148738	distal	distal	2
chr1:23484088-23484839	chr1:23743191-23743777	0.0724901	1.51714e-07	proximal	proximal	2
chr1:234863399-234863549	chr1:235176592-235176742	0.143017	0	distal	distal	2
chr1:235067697-235068214	chr1:235224389-235224560	0.135074	0	distal	distal	2
chr1:235067697-235068214	chr1:235340285-235340485	0.0595203	6.26989e-05	distal	distal	2
chr1:235067697-235068214	chr1:235910736-235910952	0.0501067	0.00235275	distal	distal	2
chr1:235104234-235104568	chr1:235971623-235972062	0.0217367	0.612027	proximal	proximal	2
chr1:235224389-235224560	chr1:235340285-235340485	0.138181	0	distal	distal	2
chr1:235253249-235253447	chr1:235910736-235910952	0.0469065	0.00697879	distal	distal	2
chr1:235504891-235505280	chr1:236064767-236064926	0.0407183	0.0464644	proximal	proximal	2
chr1:235511888-235512162	chr1:235910736-235910952	0.0531925	0.0007686	distal	distal	2
chr1:23559449-23559656	chr1:23800709-23801035	0.0435986	0.0198156	proximal	proximal	2
chr1:235623524-235623674	chr1:235649291-235649590	0.0330493	0.336477	distal	distal	2
chr1:235649291-235649590	chr1:235860748-235860900	0.252416	0	distal	distal	2
chr1:235649291-235649590	chr1:235934932-235935335	0.065946	3.6643e-06	distal	distal	2
chr1:235649291-235649590	chr1:236206636-236206914	0.0813576	1.22095e-09	distal	distal	2
chr1:235649676-235649863	chr1:235971623-235972062	0.0307963	0.557461	proximal	proximal	2
chr1:235866887-235867473	chr1:235910736-235910952	0.0393922	0.0673227	distal	distal	2
chr1:235866887-235867473	chr1:235993601-235993788	0.0421885	0.0302789	distal	distal	2
chr1:235866887-235867473	chr1:236033303-236033453	0.0297326	0.612027	distal	distal	2
chr1:235867611-235867761	chr1:236255061-236255287	0.0912145	2.99114e-12	distal	distal	2
chr1:235920324-235920474	chr1:236421069-236421231	0.252034	0	distal	distal	2
chr1:235920324-235920474	chr1:236491728-236491913	0.024049	0.612027	distal	distal	2
chr1:235934932-235935335	chr1:236219700-236219884	0.0826445	5.77784e-10	distal	distal	2
chr1:235971623-235972062	chr1:236281145-236281487	0.0399246	0.0580689	proximal	proximal	2
chr1:236025930-236026223	chr1:236572160-236572310	0.0696085	6.40916e-07	distal	distal	2
chr1:236064767-236064926	chr1:236794878-236795953	0.292549	0	proximal	proximal	2
chr1:236065051-236065382	chr1:236065492-236065649	0.124184	0	proximal	proximal	2
chr1:236219700-236219884	chr1:236686233-236686823	0.130001	0	distal	distal	2
chr1:236288165-236288439	chr1:236531888-236532045	0.0988282	2.61359e-14	distal	distal	2
chr1:23637459-23637684	chr1:24018722-24019134	0.0481945	0.00455259	distal	distal	2
chr1:236421069-236421231	chr1:236491728-236491913	0.11219	0	distal	distal	2
