peak	types	genes	states	n_edges
chr22:41534275-41534539	distal	.	.	2
chr22:41544406-41544787	proximal	POLR3H	.	8
chr22:41589493-41590510	proximal	PMM1	.	2
chr22:41666750-41667044	distal	.	.	4
chr22:41688498-41689036	distal	.	.	10
chr22:41746671-41746858	distal	.	.	16
chr22:41800441-41800651	proximal	CCDC134	.	4
chr22:41800806-41801120	proximal	CCDC134	.	12
chr22:41915044-41915224	proximal	SHISA8	.	4
chr22:41926151-41926427	proximal	TNFRSF13C	.	6
chr22:41941655-41941805	distal	.	.	4
chr22:41946676-41947294	proximal	CENPM	.	4
chr22:41966962-41967242	distal	.	.	2
chr22:42070115-42070304	proximal	ENSG00000286659,NAGA	.	20
chr22:42070804-42070985	proximal	ENSG00000286659,NAGA	.	8
chr22:42269672-42269955	proximal	OGFRP1	.	2
chr22:42343824-42344231	proximal	TCF20	.	2
chr22:42369209-42369760	proximal	LINC01315	.	8
chr22:42437567-42437974	proximal	ENSG00000230107	.	4
chr22:42444209-42444678	distal	.	.	4
chr22:42490033-42490205	distal	.	.	2
chr22:42519707-42520354	proximal	RRP7A	.	18
chr22:42553729-42554138	proximal	SERHL2	.	4
chr22:42576566-42576791	distal	.	.	8
chr22:42614594-42615075	proximal	ENSG00000270022,POLDIP3	.	8
chr22:42615173-42615734	proximal	ENSG00000270022,POLDIP3	.	40
chr22:42621551-42621798	distal	.	.	12
chr22:42628535-42628685	proximal	ENSG00000289517	.	6
chr22:42648932-42649184	distal	.	.	8
chr22:42649304-42649745	distal	.	.	4
chr22:42793096-42793246	distal	.	.	6
chr22:42856518-42856777	distal	.	.	2
chr22:42856940-42857490	proximal	ARFGAP3	.	4
chr22:42940328-42940707	distal	.	.	4
chr22:42947772-42947994	distal	.	.	2
chr22:43014845-43015539	proximal	PACSIN2	.	14
chr22:43024132-43024293	distal	.	.	8
chr22:43040443-43040670	distal	.	.	8
chr22:43089065-43089510	proximal	TTLL1	.	14
chr22:43110519-43110934	proximal	BIK	.	2
chr22:43187355-43187848	proximal	TTLL12	.	6
chr22:43220751-43221090	distal	.	.	8
chr22:43228453-43228634	distal	.	.	2
chr22:43231083-43231237	proximal	ENSG00000234892	.	6
chr22:43273998-43274196	distal	.	.	2
chr22:43281998-43282148	distal	.	.	2
chr22:43307975-43308125	distal	.	.	10
chr22:43377776-43378010	distal	.	.	4
chr22:43385753-43385981	distal	.	.	12
chr22:43403888-43404038	distal	.	.	2
chr22:43476177-43476327	distal	.	.	4
chr22:43486504-43486654	distal	.	.	6
chr22:43535344-43535565	distal	.	.	4
chr22:43777353-43777503	distal	.	.	4
chr22:43885068-43885263	distal	.	.	8
chr22:43945767-43946131	distal	.	.	6
chr22:43955284-43955468	proximal	SAMM50	.	2
chr22:44023786-44024307	distal	.	.	6
chr22:44498039-44498775	proximal	RTL6	.	8
chr22:44571211-44571361	distal	.	.	2
chr22:44684670-44685213	distal	.	.	2
chr22:44701830-44702275	proximal	PRR5-ARHGAP8	.	4
chr22:44975670-44975820	distal	.	.	2
chr22:45096343-45096493	distal	.	.	2
chr22:45227447-45227597	distal	.	.	2
chr22:45240820-45241303	proximal	KIAA0930	.	4
chr22:45269069-45269328	distal	.	.	2
chr22:45290381-45290656	distal	.	.	4
chr22:45548290-45548517	distal	.	.	2
chr22:45553758-45554395	distal	.	.	2
chr22:45594547-45594697	distal	.	.	2
chr22:45697854-45698152	distal	.	.	2
chr22:45705696-45705933	distal	.	.	6
chr22:45978630-45978825	distal	.	.	4
chr22:45994861-45995167	distal	.	.	6
chr22:46013461-46014072	proximal	ENSG00000273145	.	8
chr22:46035637-46036570	distal	.	.	10
chr22:46071545-46071750	distal	.	.	18
chr22:46079962-46080112	distal	.	.	2
chr22:46136569-46136719	distal	.	.	2
chr22:46150677-46150827	proximal	PPARA	.	8
chr22:46250089-46250543	proximal	CDPF1,ENSG00000289858	.	16
chr22:46335275-46335719	distal	.	.	2
chr22:46390719-46391014	distal	.	.	8
chr22:46509077-46509246	distal	.	.	8
chr22:46531796-46531970	distal	.	.	2
chr22:46537549-46537965	proximal	CELSR1,ENSG00000288754	.	8
chr22:46542778-46542928	distal	.	.	2
chr22:46563421-46563928	distal	.	.	2
chr22:46582413-46582659	distal	.	.	2
chr22:46762375-46762921	proximal	TBC1D22A,TBC1D22A-DT	.	4
chr22:46777782-46777932	distal	.	.	2
chr22:46798688-46798838	distal	.	.	2
chr22:46983061-46983211	distal	.	.	2
chr22:48605275-48605425	distal	.	.	2
chr22:49323416-49323641	distal	.	.	2
chr22:49929614-49929772	distal	.	.	2
chr22:49945384-49945534	distal	.	.	2
chr22:49960271-49960859	proximal	PIM3	.	4
chr22:50200741-50201076	proximal	SELENOO,TRABD-AS1	.	4
chr22:50260986-50261196	proximal	MAPK12	.	2
chr22:50327003-50327309	proximal	DENND6B	.	2
chr22:50498524-50498834	distal	.	.	6
chr22:50525522-50525919	proximal	SCO2	.	4
chr22:50526330-50526511	proximal	SCO2	.	4
chr22:50582349-50583158	proximal	CHKB-CPT1B,CHKB-DT	.	8
chr22:50600462-50600727	proximal	CHKB,MAPK8IP2	.	8
chr22:50642494-50642693	distal	.	.	4
chr22:50733552-50733806	distal	.	.	18
chr22:50775086-50775506	distal	.	.	2
chr22:50807831-50808077	distal	.	.	2
chr2:100099229-100099379	distal	.	.	4
chr2:10019584-10019734	distal	.	.	2
chr2:10029030-10029412	distal	.	.	16
chr2:100322489-100322691	proximal	LONRF2	.	2
chr2:100339405-100339555	distal	.	.	2
chr2:10043310-10044281	proximal	KLF11	.	4
chr2:100562589-100563637	proximal	PDCL3	.	10
chr2:100647957-100648116	distal	.	.	4
chr2:10079973-10080344	proximal	CYS1	.	4
chr2:100902949-100903191	distal	.	.	6
chr2:100914139-100914296	distal	.	.	2
chr2:101002055-101002532	proximal	ENSG00000223947,RPL31	.	4
chr2:101039869-101040033	distal	.	.	2
chr2:10107518-10107765	distal	.	.	2
chr2:101205564-101205818	distal	.	.	4
chr2:10120581-10120731	proximal	RRM2	.	2
chr2:101308363-101308918	proximal	RNF149	.	6
chr2:101362315-101362465	distal	.	.	4
chr2:101697204-101697738	proximal	MAP4K4	.	10
chr2:10169975-10170208	distal	.	.	8
chr2:10409197-10409608	distal	.	.	2
chr2:104414037-104414253	proximal	LINC01831	.	4
chr2:10447923-10448959	proximal	ODC1,ODC1-DT	.	16
chr2:104843596-104843765	distal	.	.	4
chr2:104853705-104854242	proximal	ENSG00000269707,PANTR1,POU3F3	.	12
chr2:105037779-105038429	proximal	MRPS9,MRPS9-AS2	.	8
chr2:105244041-105244191	distal	.	.	12
chr2:105337420-105337623	proximal	C2orf49,C2orf49-DT	.	8
chr2:105522859-105523026	distal	.	.	8
chr2:105811646-105811800	distal	.	.	8
chr2:10690189-10690765	proximal	NOL10,RN7SL832P	.	4
chr2:10755614-10755768	distal	.	.	4
chr2:10835418-10835782	distal	.	.	2
chr2:108448957-108449292	proximal	GCC2	.	4
chr2:108461292-108461442	distal	.	.	2
chr2:108636482-108636704	distal	.	.	6
chr2:108786395-108786876	proximal	CCDC138	.	2
chr2:10880134-10880456	distal	.	.	4
chr2:108979528-108979685	distal	.	.	2
chr2:109128016-109128299	proximal	SH3RF3-AS1	.	2
chr2:109223462-109223612	distal	.	.	2
chr2:110204860-110205140	proximal	NPHP1	.	4
chr2:110211982-110212172	distal	.	.	2
chr2:110268033-110268546	distal	.	.	2
chr2:110652167-110652344	distal	.	.	2
chr2:110700551-110700701	distal	.	.	2
chr2:11071900-11072050	distal	.	.	2
chr2:110879044-110879194	distal	.	.	2
chr2:110965593-110965829	distal	.	.	2
chr2:110992515-110992716	distal	.	.	4
chr2:111068426-111068632	distal	.	.	2
chr2:111120462-111121097	distal	.	.	4
chr2:111122220-111122591	distal	.	.	2
chr2:111123175-111123412	distal	.	.	4
chr2:111310220-111310377	distal	.	.	2
chr2:111494864-111495014	distal	.	.	2
chr2:111514312-111514474	distal	.	.	4
chr2:11155008-11155769	proximal	SLC66A3	.	8
chr2:111884122-111884330	proximal	ANAPC1	.	4
chr2:111897826-111898759	proximal	MERTK	.	10
chr2:112042612-112042876	distal	.	.	2
chr2:112210023-112210225	distal	.	.	4
chr2:112254966-112255185	proximal	ZC3H8	.	6
chr2:112275241-112275726	proximal	ZC3H6	.	2
chr2:112451651-112451801	distal	.	.	8
chr2:112481085-112481392	proximal	TTL	.	4
chr2:112481597-112481764	proximal	TTL	.	4
chr2:112483187-112483381	distal	.	.	2
chr2:112541814-112542545	proximal	POLR1B	.	4
chr2:112583897-112584124	proximal	CHCHD5	.	2
chr2:112600064-112600344	distal	.	.	2
chr2:112645144-112646163	proximal	SLC20A1,SLC20A1-DT	.	4
chr2:112764044-112764942	proximal	CKAP2L	.	8
chr2:113070138-113070378	distal	.	.	6
chr2:11311320-11311492	distal	.	.	4
chr2:113157318-113157693	proximal	PSD4	.	2
chr2:113199124-113199434	distal	.	.	4
chr2:113437515-113438089	proximal	ZNG1B	.	4
chr2:113583557-113584124	proximal	ENSG00000287165,WASH2P	.	8
chr2:113591823-113592094	distal	.	.	4
chr2:113627002-113627304	proximal	RABL2A	.	2
chr2:113903345-113903673	distal	.	.	8
chr2:113952642-113952833	distal	.	.	4
chr2:11465761-11466781	proximal	E2F6	.	4
chr2:11500498-11500648	distal	.	.	2
chr2:11582810-11583021	distal	.	.	2
chr2:11639089-11639239	distal	.	.	2
chr2:11668556-11668712	distal	.	.	2
chr2:11746480-11746760	distal	.	.	2
chr2:11851077-11851257	distal	.	.	2
chr2:119020696-119020846	distal	.	.	4
chr2:119476326-119476547	proximal	SCTR-AS1	.	2
chr2:119714811-119714961	distal	.	.	2
chr2:119742330-119742505	distal	.	.	4
chr2:119759373-119759955	proximal	PTPN4	.	14
chr2:120013395-120013549	proximal	EPB41L5	.	4
chr2:120174723-120174873	distal	.	.	2
chr2:120223114-120223970	proximal	TMEM185B	.	12
chr2:120252384-120253272	distal	.	.	4
chr2:120313020-120313178	distal	.	.	4
chr2:120401871-120402021	distal	.	.	8
chr2:120452308-120452458	distal	.	.	4
chr2:120736757-120736938	distal	.	.	2
chr2:120811488-120811702	distal	.	.	2
chr2:120873439-120873589	distal	.	.	2
chr2:120938014-120938177	distal	.	.	2
chr2:121085040-121085190	distal	.	.	8
chr2:12120765-12120915	distal	.	.	2
chr2:121296229-121296533	distal	.	.	2
chr2:121530572-121531419	proximal	CLASP1-AS1	.	4
chr2:121649238-121649389	proximal	CLASP1,NIFK-AS1	.	8
chr2:121649475-121649948	proximal	CLASP1,NIFK-AS1	.	8
chr2:121700056-121700211	distal	.	.	4
chr2:121724784-121724969	distal	.	.	12
chr2:121755375-121756088	distal	.	.	2
chr2:126657201-126657427	distal	.	.	2
chr2:126657508-126658123	distal	.	.	6
chr2:126777414-126777674	distal	.	.	12
chr2:126887266-126887416	distal	.	.	2
chr2:127064894-127065110	distal	.	.	10
chr2:127068140-127068301	distal	.	.	2
chr2:127105513-127105804	distal	.	.	4
chr2:127107354-127107505	proximal	BIN1	.	8
chr2:127120526-127120676	distal	.	.	12
chr2:127220066-127220453	proximal	CYP27C1	.	8
chr2:127293944-127294611	proximal	ENSG00000286145,ERCC3	.	8
chr2:127370074-127370404	distal	.	.	6
chr2:127387168-127388319	proximal	MAP3K2,MAP3K2-DT	.	12
chr2:127407720-127408753	proximal	ENSG00000287742	.	8
chr2:127415773-127416159	distal	.	.	2
chr2:127526423-127526663	proximal	IWS1	.	6
chr2:127591551-127591710	distal	.	.	2
chr2:127810695-127811615	proximal	WDR33	.	2
chr2:127841591-127841741	distal	.	.	4
chr2:127857426-127857708	proximal	POLR2D	.	10
chr2:127857846-127857996	proximal	POLR2D	.	2
chr2:127885307-127885770	proximal	AMMECR1L	.	8
chr2:127885882-127886267	proximal	AMMECR1L,ENSG00000272667	.	12
chr2:127979946-127980096	distal	.	.	8
chr2:128027195-128028376	proximal	SAP130	.	2
chr2:128063515-128063947	distal	.	.	2
chr2:128090927-128091301	proximal	ENSG00000289982,UGGT1	.	8
chr2:128233580-128233834	distal	.	.	2
chr2:128318825-128319012	proximal	HS6ST1	.	6
chr2:128321839-128322072	distal	.	.	4
chr2:128569465-128569615	distal	.	.	8
chr2:129877424-129878220	proximal	ENSG00000286957,LINC02572	.	8
chr2:129888863-129889258	distal	.	.	8
chr2:129923485-129924087	proximal	LINC01856	.	8
chr2:129973175-129973437	distal	.	.	4
chr2:129979641-129980150	proximal	RAB6C,RAB6C-AS1	.	4
chr2:130181569-130182329	proximal	MZT2B,SMPD4	.	24
chr2:130337115-130337641	distal	.	.	10
chr2:130342083-130342506	proximal	CCDC115,IMP4	.	24
chr2:130391446-130391651	distal	.	.	10
chr2:130590539-130590980	proximal	ENSG00000232408	.	4
chr2:130727319-130728006	distal	.	.	2
chr2:130756014-130756522	proximal	AMER3,ENSG00000229797	.	8
chr2:130797480-130797760	distal	.	.	10
chr2:131092910-131093849	proximal	FAM168B	.	4
chr2:131154092-131154290	distal	.	.	4
chr2:131363877-131364077	proximal	ENSG00000283303,RAB6D	.	4
chr2:134900276-134900458	distal	.	.	8
chr2:134918138-134919297	proximal	CCNT2,CCNT2-AS1	.	8
chr2:135723967-135724333	distal	.	.	4
chr2:135875996-135876702	proximal	MCM6	.	8
chr2:136025440-136025819	distal	.	.	4
chr2:138444981-138445196	distal	.	.	2
chr2:138545016-138545206	distal	.	.	2
chr2:140188063-140188265	distal	.	.	2
chr2:140642121-140642469	distal	.	.	2
chr2:143937212-143937682	proximal	ENSG00000232377	.	4
chr2:144218295-144218445	distal	.	.	2
chr2:144430713-144431148	distal	.	.	2
chr2:144452669-144452857	distal	.	.	4
chr2:144950800-144951039	distal	.	.	2
chr2:145387127-145387283	distal	.	.	2
chr2:148927031-148927504	proximal	ENSG00000286167	.	2
chr2:149329878-149330052	proximal	LYPD6	.	4
chr2:149330170-149330625	proximal	LYPD6	.	2
chr2:150486071-150486233	distal	.	.	2
chr2:150486573-150486754	distal	.	.	2
chr2:151560961-151561120	distal	.	.	2
chr2:151828240-151828737	proximal	ARL5A	.	4
chr2:151891970-151892297	distal	.	.	2
chr2:152038460-152038634	distal	.	.	2
chr2:152098340-152098958	proximal	CACNB4,ENSG00000225214	.	4
chr2:152175336-152176202	proximal	ENSG00000286234,STAM2	.	8
chr2:152200703-152200929	distal	.	.	2
chr2:152298245-152298470	distal	.	.	8
chr2:152335021-152335326	proximal	FMNL2	.	4
chr2:152372575-152372767	distal	.	.	2
chr2:152379143-152379293	distal	.	.	2
chr2:152481841-152482044	distal	.	.	4
chr2:153477188-153477362	distal	.	.	4
chr2:153478656-153479034	proximal	RPRM	.	4
chr2:154142445-154142595	distal	.	.	2
chr2:154293814-154293964	distal	.	.	2
chr2:154532788-154533094	distal	.	.	2
chr2:154647639-154647789	distal	.	.	2
chr2:155157584-155157811	distal	.	.	2
chr2:15561033-15561332	proximal	NBAS	.	4
chr2:15591612-15592136	proximal	DDX1	.	4
chr2:155966278-155966428	distal	.	.	2
chr2:156341534-156342234	proximal	NR4A2	.	2
chr2:156342380-156342716	proximal	NR4A2	.	2
chr2:158722987-158723137	distal	.	.	4
chr2:158967435-158968271	proximal	TANC1	.	4
chr2:158995802-158995957	distal	.	.	8
chr2:159064807-159065267	distal	.	.	6
chr2:159124712-159124862	distal	.	.	2
chr2:159286008-159286210	proximal	WDSUB1	.	4
chr2:159344690-159344852	distal	.	.	4
chr2:15965550-15965700	distal	.	.	4
chr2:15985679-15985829	distal	.	.	4
chr2:160224118-160224307	distal	.	.	2
chr2:160406937-160407367	distal	.	.	2
chr2:160492637-160492873	distal	.	.	2
chr2:160493748-160494045	proximal	RBMS1	.	4
chr2:160993735-160993993	distal	.	.	6
chr2:161413992-161414889	distal	.	.	2
chr2:161684379-161684576	distal	.	.	2
chr2:162548169-162548335	distal	.	.	2
chr2:163347771-163347976	distal	.	.	2
chr2:165746712-165746865	distal	.	.	4
chr2:165953374-165954065	proximal	TTC21B	.	4
chr2:168247365-168247815	proximal	STK39	.	4
chr2:168661499-168661870	distal	.	.	4
chr2:168816317-168816492	distal	.	.	8
chr2:169012238-169012726	distal	.	.	6
chr2:169361811-169362260	proximal	LRP2	.	8
chr2:169363524-169363699	distal	.	.	2
chr2:169364050-169364587	distal	.	.	2
chr2:169452930-169453318	distal	.	.	4
chr2:169509663-169509815	proximal	KLHL41	.	4
chr2:169570707-169570950	distal	.	.	4
chr2:169573542-169574103	proximal	FASTKD1	.	6
chr2:169584237-169584640	proximal	PPIG	.	8
chr2:169584698-169584888	proximal	PPIG	.	4
chr2:169694345-169694914	proximal	CFAP210,KLHL23,PHOSPHO2	.	18
chr2:169717037-169717187	distal	.	.	12
chr2:169733187-169733337	distal	.	.	2
chr2:169733455-169734068	distal	.	.	2
chr2:169827243-169827542	proximal	UBR3	.	6
chr2:169827635-169827818	proximal	UBR3	.	6
chr2:169828360-169828808	distal	.	.	6
chr2:169898947-169899101	distal	.	.	10
chr2:169966879-169967031	distal	.	.	4
chr2:170007694-170007860	distal	.	.	2
chr2:170081399-170081552	distal	.	.	2
chr2:170324625-170324941	distal	.	.	2
chr2:170361025-170361485	distal	.	.	4
chr2:170474300-170474536	distal	.	.	2
chr2:170530014-170530653	distal	.	.	2
chr2:170724906-170725056	distal	.	.	2
chr2:170770728-170771213	distal	.	.	4
chr2:170928757-170929519	proximal	GORASP2	.	4
chr2:170973516-170973753	distal	.	.	2
chr2:170973819-170974104	distal	.	.	2
chr2:171159718-171159913	distal	.	.	4
chr2:171160059-171161098	distal	.	.	4
chr2:171176136-171176377	distal	.	.	2
chr2:171347148-171347325	distal	.	.	4
chr2:171408624-171408774	distal	.	.	4
chr2:171433751-171434835	proximal	DCAF17,METTL8	.	12
chr2:171687198-171687516	proximal	DYNC1I2	.	4
chr2:171738692-171738882	distal	.	.	10
chr2:171761387-171761577	distal	.	.	2
chr2:171922197-171922982	proximal	HAT1	.	8
chr2:171999539-172000277	proximal	METAP1D,SLC25A12	.	12
chr2:172054252-172054462	distal	.	.	2
chr2:172084352-172084702	proximal	DLX1,ENSG00000288958	.	4
chr2:172084864-172085058	proximal	DLX1	.	4
chr2:172085203-172085528	proximal	DLX1	.	8
chr2:172345792-172345942	distal	.	.	4
chr2:172735737-172736021	proximal	RAPGEF4,RAPGEF4-AS1	.	4
chr2:172834952-172835166	distal	.	.	4
chr2:172951716-172952039	distal	.	.	8
chr2:172972062-172972291	distal	.	.	2
chr2:173049338-173049547	distal	.	.	12
chr2:173075882-173076223	proximal	MAP3K20	.	4
chr2:173354762-173354964	proximal	CDCA7	.	4
chr2:173401883-173402033	distal	.	.	10
chr2:173479998-173480148	distal	.	.	4
chr2:173911368-173911591	distal	.	.	4
chr2:173963833-173964045	distal	.	.	8
chr2:173964220-173965139	proximal	ENSG00000289296,SP3	.	8
chr2:173965317-173965569	proximal	ENSG00000289296,SP3	.	24
chr2:174059919-174060069	distal	.	.	2
chr2:174247899-174248367	proximal	OLA1	.	2
chr2:174248452-174248832	proximal	OLA1	.	2
chr2:174486500-174487406	proximal	GPR155,GPR155-DT	.	8
chr2:174682777-174683272	proximal	WIPF1	.	4
chr2:174706890-174707083	distal	.	.	4
chr2:174788551-174788862	proximal	CHRNA1	.	4
chr2:174951868-174952018	distal	.	.	2
chr2:175145421-175145606	distal	.	.	2
chr2:175181556-175181878	proximal	ATP5MC3	.	4
chr2:175366871-175367035	distal	.	.	6
chr2:175454974-175455476	distal	.	.	2
chr2:175757400-175757580	distal	.	.	4
chr2:176002595-176002848	proximal	LNPK	.	4
chr2:176080385-176080720	distal	.	.	4
chr2:176091895-176092045	proximal	HOXD13	.	4
chr2:176093155-176093555	proximal	HOXD13	.	4
chr2:176106797-176107340	distal	.	.	4
chr2:176129995-176130412	proximal	HOXD8	.	4
chr2:176130572-176130909	distal	.	.	2
chr2:176135890-176136251	proximal	HOXD3	.	4
chr2:176158479-176159320	distal	.	.	4
chr2:176174929-176175559	distal	.	.	2
chr2:176188392-176188750	proximal	HAGLR,HOXD1	.	8
chr2:176335175-176335343	distal	.	.	2
chr2:176419266-176419416	distal	.	.	4
chr2:176454938-176455368	distal	.	.	10
chr2:176532338-176532488	proximal	ENSG00000236231	.	4
chr2:176537478-176537638	distal	.	.	4
chr2:176618623-176618782	distal	.	.	4
chr2:176638167-176638589	proximal	LINC01116	.	4
chr2:176729112-176729364	distal	.	.	2
chr2:176757889-176758127	distal	.	.	2
chr2:176857780-176857934	distal	.	.	4
chr2:176956084-176956254	distal	.	.	4
chr2:177164670-177164902	proximal	ENSG00000236501	.	4
chr2:177212335-177213344	proximal	ENSG00000229337,HNRNPA3	.	4
chr2:177263457-177264430	proximal	ENSG00000222043	.	8
chr2:177265211-177265544	distal	.	.	2
chr2:177365849-177366106	distal	.	.	2
chr2:17737931-17738138	distal	.	.	2
chr2:177392658-177393088	proximal	AGPS,ENSG00000213963,NFE2L2	.	6
chr2:177588939-177589089	distal	.	.	4
chr2:177618621-177618814	proximal	TTC30A	.	6
chr2:177634385-177634740	distal	.	.	4
chr2:178112280-178112587	proximal	RBM45	.	4
chr2:178112807-178112958	proximal	RBM45	.	2
chr2:178193999-178194184	proximal	OSBPL6	.	2
chr2:178194277-178195019	proximal	OSBPL6	.	4
chr2:181294763-181295026	distal	.	.	2
chr2:181569474-181569678	distal	.	.	4
chr2:181656400-181656888	distal	.	.	2
chr2:181954156-181954497	proximal	PPP1R1C	.	4
chr2:182681811-182681961	distal	.	.	4
chr2:183037641-183038687	proximal	NCKAP1	.	4
chr2:18473441-18473591	distal	.	.	2
chr2:188291573-188291864	proximal	GULP1	.	2
chr2:188291992-188292341	proximal	GULP1	.	6
chr2:188292544-188293245	distal	.	.	4
chr2:189580391-189581041	distal	.	.	2
chr2:189738538-189738688	distal	.	.	2
chr2:189871751-189871944	distal	.	.	2
chr2:190343511-190344542	proximal	HIBCH,INPP1	.	4
chr2:190380746-190380896	distal	.	.	2
chr2:190648474-190649189	distal	.	.	2
chr2:190880217-190880903	proximal	GLS	.	4
chr2:191245179-191245472	proximal	MYO1B,MYO1B-AS1	.	16
chr2:191321722-191322214	distal	.	.	8
chr2:191434119-191434269	distal	.	.	2
chr2:191677404-191677675	proximal	ENSG00000288900,NABP1	.	8
chr2:191677813-191678418	proximal	ENSG00000288900,NABP1	.	12
chr2:191741078-191741247	distal	.	.	8
chr2:192194762-192195468	proximal	TMEFF2	.	4
chr2:19348285-19348511	proximal	LINC01376	.	4
chr2:196131427-196131704	distal	.	.	2
chr2:196171293-196171782	distal	.	.	14
chr2:196593602-196593796	proximal	HECW2	.	6
chr2:196639350-196640011	proximal	CCDC150,ENSG00000282836	.	8
chr2:196662500-196662703	distal	.	.	2
chr2:196748608-196748758	distal	.	.	2
chr2:196799421-196799878	proximal	GTF3C3	.	6
chr2:196855033-196855274	distal	.	.	8
chr2:196926583-196927275	proximal	PGAP1	.	8
chr2:197228499-197228672	distal	.	.	4
chr2:197453774-197454026	proximal	COQ10B	.	4
chr2:197515753-197516537	proximal	HSPD1,MOB4	.	4
chr2:197805110-197805304	proximal	PLCL1	.	4
chr2:19863494-19863644	distal	.	.	12
chr2:19901472-19902410	proximal	TTC32,TTC32-DT	.	4
chr2:199360765-199360930	distal	.	.	2
chr2:199558001-199558219	distal	.	.	2
chr2:199911047-199911816	proximal	C2orf69,ENSG00000232732	.	8
chr2:200306277-200306867	proximal	SPATS2L	.	4
chr2:200442506-200442656	distal	.	.	8
chr2:200481755-200482032	distal	.	.	4
chr2:20051332-20052242	proximal	LAPTM4A,LAPTM4A-DT	.	8
chr2:200525929-200526398	distal	.	.	2
chr2:200600631-200600880	distal	.	.	2
chr2:200697117-200697499	distal	.	.	8
chr2:200713039-200713475	distal	.	.	2
chr2:200756574-200756893	distal	.	.	2
chr2:200812450-200812674	proximal	BZW1-AS1	.	4
chr2:200864242-200864911	proximal	CLK1	.	4
chr2:200963258-200964160	proximal	ENSG00000183308,ORC2	.	16
chr2:20098333-20098483	distal	.	.	2
chr2:200991428-200991578	distal	.	.	4
chr2:201071232-201072280	proximal	HYCC2,NDUFB3	.	12
chr2:201087132-201087282	distal	.	.	2
chr2:20114555-20114705	distal	.	.	2
chr2:201451457-201451737	proximal	TRAK2	.	4
chr2:201451862-201452212	proximal	TRAK2	.	12
chr2:201621730-201621955	distal	.	.	4
chr2:201642409-201642791	proximal	ENSG00000287133,TMEM237	.	8
chr2:201780855-201781267	distal	.	.	12
chr2:201819207-201819495	distal	.	.	8
chr2:201872721-201872871	distal	.	.	6
chr2:201912044-201912215	distal	.	.	4
chr2:202014902-202015172	distal	.	.	8
chr2:202033276-202034197	proximal	ENSG00000273209,FZD7	.	8
chr2:202109729-202109984	distal	.	.	8
chr2:202200584-202200734	distal	.	.	6
chr2:202238211-202238392	proximal	SUMO1	.	8
chr2:202238454-202238819	proximal	SUMO1	.	12
chr2:20224776-20225011	proximal	SDC1	.	4
chr2:20225144-20225521	proximal	SDC1	.	2
chr2:202265186-202265835	proximal	NOP58	.	4
chr2:202349393-202349552	distal	.	.	4
chr2:202375241-202376343	proximal	BMPR2,ENSG00000273456	.	12
chr2:202386654-202386804	distal	.	.	2
chr2:202635619-202636105	proximal	FAM117B	.	2
chr2:202831385-202831712	distal	.	.	14
chr2:202871152-202871971	proximal	ICA1L	.	4
chr2:202911372-202911748	proximal	CARF	.	4
chr2:202911873-202912062	proximal	CARF	.	2
chr2:202923785-202923982	distal	.	.	2
chr2:202963776-202963991	distal	.	.	8
chr2:203239642-203239845	proximal	CYP20A1,ENSG00000289294	.	8
chr2:203327688-203329057	proximal	ABI2,ENSG00000256458	.	8
chr2:203374185-203374344	distal	.	.	2
chr2:203465988-203466138	distal	.	.	8
chr2:20350345-20351493	distal	.	.	4
chr2:203556326-203556553	distal	.	.	2
chr2:20446872-20447306	proximal	ENSG00000290108,RHOB	.	8
chr2:204620454-204620604	distal	.	.	2
chr2:20468374-20468604	distal	.	.	8
chr2:205025088-205025501	distal	.	.	2
chr2:205711848-205711998	distal	.	.	2
chr2:205776183-205776402	distal	.	.	2
chr2:206159164-206159694	proximal	EEF1B2,NDUFS1	.	12
chr2:206159766-206160000	proximal	EEF1B2,NDUFS1	.	8
chr2:206195895-206196224	distal	.	.	4
chr2:206202516-206202714	proximal	CMKLR2-AS	.	4
chr2:206265277-206265427	distal	.	.	8
chr2:206274415-206274806	proximal	ZDBF2	.	6
chr2:206275503-206275744	proximal	ZDBF2	.	2
chr2:206399289-206399481	distal	.	.	4
chr2:206443268-206443928	proximal	ADAM23	.	4
chr2:206489159-206489309	distal	.	.	8
chr2:20651014-20651360	proximal	HS1BP3	.	2
chr2:206530474-206530730	distal	.	.	8
chr2:206540547-206540697	distal	.	.	8
chr2:206765206-206765455	proximal	FASTKD2,MDH1B	.	8
chr2:206765573-206765845	proximal	FASTKD2,MDH1B	.	16
chr2:206981867-206982045	distal	.	.	8
chr2:207165789-207166479	proximal	MYOSLID	.	8
chr2:207166828-207167002	proximal	MYOSLID	.	2
chr2:207223146-207223435	distal	.	.	4
chr2:207245024-207245252	distal	.	.	4
chr2:207350394-207350544	distal	.	.	8
chr2:207473228-207473397	distal	.	.	4
chr2:207529665-207530320	proximal	CREB1,ENSG00000223725	.	12
chr2:207540406-207540694	distal	.	.	4
chr2:207625335-207625898	proximal	METTL21A	.	2
chr2:207711280-207711899	proximal	CCNYL1	.	8
chr2:207712232-207712484	proximal	CCNYL1	.	4
chr2:207769651-207770522	proximal	FZD5	.	4
chr2:208061682-208061832	distal	.	.	4
chr2:208072419-208072615	distal	.	.	4
chr2:208124055-208124355	proximal	CRYGD	.	8
chr2:208124432-208124641	proximal	CRYGD	.	4
chr2:208265867-208266565	proximal	IDH1,PIKFYVE	.	4
